Account No,Organisation,City,Country,Region,Access,C40,Reporting year,Risks to city's water supply,​Adaptation action,Action description,City Location,Country Location
31169,Government of Hong Kong Special Administrative Region,Hong Kong,Hong Kong,East Asia,Public,C40,2017,Increased water stress or scarcity,Other,"To better prepare Hong Kong for the aforesaid uncertainties (i.e. climate changes and persistent demand growth), the Hong Kong Government promulgated the Total Water Management (TWM) Strategy in 2008, which emphasizes containing water demand growth by conservation while developing new water resources. We have since been implementing various measures under the strategy and laid a solid foundation on sustainable water management.

Water Conservation
We have been taking a multi-pronged approach to promote water conservation using both hardware and software measures, such as the “Let’s Save 10L Water” campaign. We have also been installing flow controllers at public rental housing estates, schools and government buildings. Further to the phased implementation of the Voluntary Water Efficiency Labelling Scheme (WELS) since 2009, we have launched the requirement for the mandatory use of designated products registered under WELS for all new and existing buildings under major renovation in February 2017.

Water Intelligent Network
Having achieved significant reduction in water mains leakage through the 15-year replacement and rehabilitation programme for 3,000 km aged water mains, we are progressively establishing the Water Intelligent Network (WIN) to continuously monitor network healthiness for timely and appropriate interventions to reduce water loss in the waterworks network. 

New Water Resources
We have been adopting a three-pronged approach on water supply to support the development of Hong Kong, viz using seawater for flushing purposes, importing DJ water, and collecting rainfall through natural catchment. However, with challenges arising from climate change and increasing demand for the DJ water in neighboring cities, we have been taking a responsible approach to diversify our supply sources and thereby enhance our water security for the decades to come. Apart from expanding the salt water supply system, we have been exploiting alternative water resources less susceptible to climate change including seawater desalination, reclaimed water, grey water reuse and rainwater harvesting. We have embarked on the design of a medium-sized seawater desalination plant at Tseung Kwan O, which will have output capacity capable of meeting 5-10% of Hong Kong’s fresh water demand.","(22.2880809, 114.1398015)","(22.396428, 114.109497)"
8242,City of Helsinki,Helsinki,Finland,Europe,Public,,2017,Other: Urban flooding,Investment in existing water supply infrastructure,Developing new tools to optimize the wastewater network.,"(60.1733244, 24.9410248)","(61.92411, 25.748151)"
35860,City of Dallas,Dallas,USA,North America,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,"Conservation: outreach teams educate the public; Lawn Whisperer media campaign educating on proper lawn watering. Water use restrictions: permanent twice-weekly watering restrictions. Municipal retrofits: City facilities being upgraded with more efficient plumbing features; Green Building requirements mandate water efficiencies in all new municipal buildings over 10,000 sqft. Diversifying: City continues to explore new sources for freshwater. Stormwater Management: City continues to protect water bodies through outreach and enforcement.","(32.7801399, -96.8004511)","(37.09024, -95.712891)"
10894,City of Los Angeles,Los Angeles,USA,North America,Public,C40,2017,Increased water stress or scarcity,Conservation awareness and education,All listed measures are being employed across the city,"(34.0522342, -118.2436849)","(37.09024, -95.712891)"
31171,Ayuntamiento de Madrid,Madrid,Spain,Europe,Public,C40,2017,Declining water quality,Use of non-potable water outside,,"(40.1076253, -3.3875673)","(40.463667, -3.74922)"
49787,City of Benicia,Benicia,USA,North America,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,"The City is managing its water supply to maximize the use of the allocated State Water Project water, conserve Solano Project water that can be stored/banked in Lake Berryessa, maximize Lake Herman water storage and delivery, and make improvements to components of the water infrastructure to ensure reliability and redundancy.  

On January 17, 2014, the Governor declared a statewide drought. Benicia is under a state-mandated water conservation target of 20%. Benicia has consistently been ahead of state-mandated targets due to the community’s water conservation efforts. Benicia reduced its water use by 36% in 2015 compared to the 2013 baseline. In December 2015, Benicia’s water use was reduced by 46% compared to December 2013 with residents using a record low 43 gallons per person per day.","(38.049365, -122.1585777)","(37.09024, -95.712891)"
31090,District of Columbia,"Washington, DC",USA,North America,Public,C40,2017,Declining water quality,Stormwater management (natural or man-made infrastructure),"In 2013, the District finalized new stormwater regulations that require large development projects to install green infrastructure practices such as cisterns, rain gardens, green roofs and permeable pavement in order to retain stormwater on-site. The regulation allows development projects to meet a portion of stormwater retention requirement through Stormwater Retention Credits (SRC). The SRC program is an innovative open-market trading program where property owners who have voluntarily installed green practices can sell credits to others. The District also incentivizes voluntarily stormwater capture practices through the RiverSmart Program which provides property owners with discounts and rebates to help defray costs of rain barrels or cisterns.","(38.9071923, -77.0368707)","(37.09024, -95.712891)"
43910,City of Columbus,Columbus,USA,North America,Public,,2017,Higher water prices,Watershed preservation,"http://www.morpc.org/pdf/2014-12-5AdaptationStrategies.pdf
In the Short Term, ten-year planning horizon, it is recommended that the region implement strategies that focus on:
• Establishing a regional collaborative forum for regional planning for issues related to water supply, water quality and climate change impacts;
• Enhancing public and leadership education regarding water quality, water supply, and climate change;
• Increasing emergency preparedness
• Expanding the monitoring and understanding of conditions within the watershed;
• Modifying stormwater and land development ordinances to promote infiltration and reduce impervious areas.
In the Mid Term range (30-year planning horizon) strategies focus on:
• Water supply planning
• Watershed management planning (nutrient/pollutant reduction)","(39.9611755, -82.9987942)","(37.09024, -95.712891)"
31111,Tokyo Metropolitan Government,Tokyo,Japan,East Asia,Public,C40,2017,Flooding,Other,Implementing measures against flood,"(35.6896342, 139.6921007)","(36.204824, 138.252924)"
8242,City of Helsinki,Helsinki,Finland,Europe,Public,,2017,Declining water quality,Investment in existing water supply infrastructure,Water treatment processes can be modified to reach good quality of drinking water in the future too. Some more treatment chemicals are needed,"(60.1733244, 24.9410248)","(61.92411, 25.748151)"
